id,character_name,rerun,revenue,rarity,region,vision,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,max_ascencion_hp,max_ascencion_atk,max_ascencion_def,max_lv_hp,max_lv_atk,max_lv_def,base_hp,base_atk,base_def,special_0,special_1,special_2,special_3,special_4,special_5,special_6,max_num_normal_atk,hair_color,eye_color
1,Kamisato Ayaka,1,"35,939,066",5,Inazuma,Cryo,Sword,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""",Yashiro Commission,2021/7/21,TRUE,Erica Mendez,Xiao N ,Saori Hayami ,Lee Yu-ri ,CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Old Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Bloodjade Branch,4228.035,80.28111,280.098,"13,225",251,876,1029.5856,19.551,68.2062,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,blue,blue
2,Raiden Shogun,1,"33,560,259",5,Inazuma,Electro,Polearm,Tall Female,Imperatrix Umbrosa,26-Jun,None,Inazuma City,2021/9/1,TRUE,Anne Yatco,Juhuahua ,Miyuki Sawashiro ,Park Ji-yoon ,Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Old Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,4267.1836,100.16024,249.8769,"13,348",313,781,1039.1188,24.3922,60.84711,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,purple,purple
3,Sangonomiya Kokomi,1,"33,560,259",5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,2021/9/21,TRUE,Risa Mei,Guiniang ,Suzuko Mimori ,Yeo Yun-mi ,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,3484.214,74.77612,216.216,"10,898",233,676,848.4548,18.21036,52.6504,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,3,pink,blue
4,Raiden Shogun,0,"33,020,905",5,Inazuma,Electro,Polearm,Tall Female,Imperatrix Umbrosa,26-Jun,None,Inazuma City,2021/9/1,TRUE,Anne Yatco,Juhuahua ,Miyuki Sawashiro ,Park Ji-yoon ,Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Old Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,2838.2634,66.90411,180.18,"9,461",223,600,793.2582,18.6984,50.358,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,purple,purple
5,Nahida,0,"32,101,943",5,Sumeru,Dendro,Catalyst,Short Female,Sapientia Oromasdis,27-Oct,Halvamazd,Sumeru City,2022/11/2,TRUE,Kimberley Anne Campbell,Hualing ,Tamura Yukari ,Park Shi-Yoon ,Elemental Mastery,Kalpalata Lotus,Fungal Spores,Quelled Creeper,Fungal Spores,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Puppet Strings,4110.59,72.63529,306.6336,"12,858",227,959,1000.986,17.689,74.66784,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,4,green,green
6,Yoimiya,2,"32,101,943",5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,2021/8/10,TRUE,Jenny Yokobori,Na Jin ,Kana Ueda ,Bak Sin-hee ,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Divining Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,4267.1836,61.54885,159.705,"13,348",192,499,1039.1188,14.9891,38.8895,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,blonde,golden
7,Venti,0,"30,632,752",5,Mondstadt,Anemo,Bow,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,Mondstadt,2020/9/28,TRUE,Erika Harlacher,Miaojiang ,Ayumu Murase ,Jung Yoo-jung ,Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Slime Condensate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tail of Boreas,2936.1348,47.78865,200.655,"9,787",159,668,820.6119,13.356,56.0805,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,6,blue,green
8,Zhongli,2,"26,780,298",5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,2020/12/1,TRUE,Keith Silverstein,Bo Peng ,Tomoaki Maeno ,Pyo Yeong-jae ,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Slime Condensate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,3914.8462,67.54129,194.5125,"13,049",225,648,1094.1492,18.87648,54.36375,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,6,brown,amber
9,Ganyu,1,"26,780,298",5,Liyue,Cryo,Bow,Medium Female,Sinae Unicornis,2-Dec,Prosperous Peace,Yuehai Pavilion,2021/1/12,TRUE,Jennifer Losi,Su Lin ,Reina Ueda ,Kim Sun-hye ,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior,3719.104,57.34638,231.3675,"12,397",191,771,1039.4418,16.0272,64.66425,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,6,blue,purple-gold
10,Yelan,0,"25,612,693",5,Liyue,Hydro,Bow,Tall Female,Umbrabilis Orchis,20-Apr,Dew-Dipped Shrimp,Yanshang Teahouse,2022/5/31,TRUE,Laura Post,Xu Hui ,Endou Aya ,Min-a ,CRIT Rate,Starconch,Recruit's Insignia,Runic Fang,Recruit's Insignia,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Gilded Scale,3262.3718,63.7182,204.75,"10,874",212,682,911.791,17.808,57.225,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,blue,green
